ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,holiday,holiday_lower,holiday_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,season_0.0,season_0.0_lower,season_0.0_upper,season_1.0,season_1.0_lower,season_1.0_upper,season_2.0,season_2.0_lower,season_2.0_upper,season_3.0,season_3.0_lower,season_3.0_upper,t1,t1_lower,t1_upper,t2,t2_lower,t2_upper,weekend,weekend_lower,weekend_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2015-01-04,3703.58484,-8.307327264148363,1171.0258837742792,3703.58484,3703.58484,-0.19463394764161795,-0.19463394764161795,-0.19463394764161795,0.0,0.0,0.0,-0.839082564926928,-0.839082564926928,-0.839082564926928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07040864964883213,0.07040864964883213,0.07040864964883213,-0.26584677319344613,-0.26584677319344613,-0.26584677319344613,0.07121282555182817,0.07121282555182817,0.07121282555182817,-0.2469729175375439,-0.2469729175375439,-0.2469729175375439,-0.14072735249786045,-0.14072735249786045,-0.14072735249786045,-0.3271569968987378,-0.3271569968987378,-0.3271569968987378,0.0,0.0,0.0,595.9713730283137
2015-01-05,3703.777131131507,2155.6905585265995,3355.028192859198,3703.777131131507,3703.777131131507,-0.09046708141792396,-0.09046708141792396,-0.09046708141792396,0.0,0.0,0.0,-0.2506893713682644,-0.2506893713682644,-0.2506893713682644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13532488724230704,0.13532488724230704,0.13532488724230704,-0.12762159909713866,-0.12762159909713866,-0.12762159909713866,0.037154517679214696,0.037154517679214696,0.037154517679214696,0.0,0.0,0.0,0.044139914033288624,0.044139914033288624,0.044139914033288624,-0.3396870912259361,-0.3396870912259361,-0.3396870912259361,0.0,0.0,0.0,2775.2795704399955
2015-01-06,3703.9694222630137,2605.3390065949884,3755.2616934986104,3703.9694222630137,3703.9694222630137,-0.07981439162827764,-0.07981439162827764,-0.07981439162827764,0.0,0.0,0.0,-0.13725553234399074,-0.13725553234399074,-0.13725553234399074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19405378539726129,0.19405378539726129,0.19405378539726129,-0.10458407008108743,-0.10458407008108743,-0.10458407008108743,0.0247696784528098,0.0247696784528098,0.0247696784528098,0.0,0.0,0.0,0.0978931406415064,0.0978931406415064,0.0978931406415064,-0.34938806675448075,-0.34938806675448075,-0.34938806675448075,0.0,0.0,0.0,3195.57912742444
2015-01-07,3704.1617133945206,2778.6947775979393,3955.049719369893,3704.1617133945206,3704.1617133945206,-0.07808224219151906,-0.07808224219151906,-0.07808224219151906,0.0,0.0,0.0,-0.10503225360106438,-0.10503225360106438,-0.10503225360106438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2444492188901758,0.2444492188901758,0.2444492188901758,-0.12762159909713866,-0.12762159909713866,-0.12762159909713866,0.0495393569056196,0.0495393569056196,0.0495393569056196,0.0,0.0,0.0,0.08444922032015545,0.08444922032015545,0.08444922032015545,-0.3558484506198766,-0.3558484506198766,-0.3558484506198766,0.0,0.0,0.0,3315.105260933914
2015-01-08,3704.3540045260274,2916.524513966352,4051.291114930312,3704.3540045260274,3704.3540045260274,-0.06296928222542883,-0.06296928222542883,-0.06296928222542883,0.0,0.0,0.0,-0.05602665869744253,-0.05602665869744253,-0.05602665869744253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2849986194677864,0.2849986194677864,0.2849986194677864,-0.08154654106503617,-0.08154654106503617,-0.08154654106503617,0.018577258839607348,0.018577258839607348,0.018577258839607348,0.0,0.0,0.0,0.08063802999997807,0.08063802999997807,0.08063802999997807,-0.35869402593977817,-0.35869402593977817,-0.35869402593977817,0.0,0.0,0.0,3496.8114270199435
2015-01-09,3704.546295657534,2834.3638903181572,4052.333365460002,3704.546295657534,3704.546295657534,-0.004011399315458038,-0.004011399315458038,-0.004011399315458038,0.0,0.0,0.0,-0.06759921655248077,-0.06759921655248077,-0.06759921655248077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314854994118772,0.314854994118772,0.314854994118772,-0.0009151895088568125,-0.0009151895088568125,-0.0009151895088568125,-0.003096209806601225,-0.003096209806601225,-0.003096209806601225,0.0,0.0,0.0,-0.020841136045693473,-0.020841136045693473,-0.020841136045693473,-0.35760167531010123,-0.35760167531010123,-0.35760167531010123,0.0,0.0,0.0,3454.1218683886896
2015-01-10,3704.738586789041,1408.5447349750045,2639.462780233292,3704.738586789041,3704.738586789041,-0.02927906341973123,-0.02927906341973123,-0.02927906341973123,0.0,0.0,0.0,-0.4547825888321441,-0.4547825888321441,-0.4547825888321441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3338075976495623,0.3338075976495623,0.3338075976495623,-0.03547148303293368,-0.03547148303293368,-0.03547148303293368,0.00619241961320245,0.00619241961320245,0.00619241961320245,-0.2614466382603787,-0.2614466382603787,-0.2614466382603787,-0.1455518164513294,-0.1455518164513294,-0.1455518164513294,-0.352312668350267,-0.352312668350267,-0.352312668350267,0.0,0.0,0.0,2019.8879813427818
2015-01-11,3704.930877920548,1305.2984222365822,2508.4559313472882,3704.930877920548,3704.930877920548,-0.08873493198116544,-0.08873493198116544,-0.08873493198116544,0.0,0.0,0.0,-0.47688037021006324,-0.47688037021006324,-0.47688037021006324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3421997734901183,0.3421997734901183,0.3421997734901183,-0.15065912811318993,-0.15065912811318993,-0.15065912811318993,0.061924196132024496,0.061924196132024496,0.061924196132024496,-0.24697291753751446,-0.24697291753751446,-0.24697291753751446,-0.14072735249775783,-0.14072735249775783,-0.14072735249775783,-0.34264494168374393,-0.34264494168374393,-0.34264494168374393,0.0,0.0,0.0,1938.1220692551024
2015-01-12,3705.123169052055,3094.3778628118284,4313.214762416192,3705.123169052055,3705.123169052055,-0.054546727524004426,-0.054546727524004426,-0.054546727524004426,0.0,0.0,0.0,0.0018968234520379407,0.0018968234520379407,0.0018968234520379407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34080756836241255,0.34080756836241255,0.34080756836241255,-0.07002777655701055,-0.07002777655701055,-0.07002777655701055,0.015481049033006124,0.015481049033006124,0.015481049033006124,0.0,0.0,0.0,0.04413991403313902,0.04413991403313902,0.04413991403313902,-0.3285039314195092,-0.3285039314195092,-0.3285039314195092,0.0,0.0,0.0,3712.1511335718023
2015-01-13,3705.3154601835618,3312.2478146042645,4514.793397541568,3705.3154601835618,3705.3154601835618,-0.06296928222542883,-0.06296928222542883,-0.06296928222542883,0.0,0.0,0.0,0.055728389200265224,0.055728389200265224,0.055728389200265224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3306960749194028,0.3306960749194028,0.3306960749194028,-0.08154654106503617,-0.08154654106503617,-0.08154654106503617,0.018577258839607348,0.018577258839607348,0.018577258839607348,0.0,0.0,0.0,0.09789314064152115,0.09789314064152115,0.09789314064152115,-0.3098915441352299,-0.3098915441352299,-0.3098915441352299,0.0,0.0,0.0,3911.806722258431
